Variable	Label	Weight
CE_F0_34		0.198
CE_F35_44		0.212
CE_F45_54		0.274
CE_F55_59		0.359
CE_F60_64		0.416
CE_F65_69		0.283
CE_F70_74		0.346
CE_F75_79		0.428
CE_F80_84		0.517
CE_F85_89		0.632
CE_F90_94		0.755
CE_F95_GT		0.775
CE_M0_34		0.079
CE_M35_44		0.119
CE_M45_54		0.165
CE_M55_59		0.292
CE_M60_64		0.332
CE_M65_69		0.309
CE_M70_74		0.378
CE_M75_79		0.464
CE_M80_84		0.565
CE_M85_89		0.647
CE_M90_94		0.776
CE_M95_GT		0.963
CE_MCAID_Female_Aged		0.213
CE_MCAID_Female_Disabled		0.104
CE_MCAID_Male_Aged		0.21
CE_MCAID_Male_Disabled		0.113
CE_OriginallyDisabled_Female		0.244
CE_OriginallyDisabled_Male		0.171
CE_HCC1	HIV/AIDS	0.492
CE_HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	0.52
CE_HCC6	Opportunistic Infections	0.557
CE_HCC8	Metastatic Cancer and Acute Leukemia	2.425
CE_HCC9	Lung and Other Severe Cancers	1.006
CE_HCC10	Lymphoma and Other Cancers	0.695
CE_HCC11	Colorectal, Bladder, and Other Cancers	0.33
CE_HCC12	Breast, Prostate, and Other Cancers and Tumors	0.18
CE_HCC17	Diabetes with Acute Complications	0.344
CE_HCC18	Diabetes with Chronic Complications	0.344
CE_HCC19	Diabetes without Complication	0.124
CE_HCC21	Protein-Calorie Malnutrition	0.653
CE_HCC22	Morbid Obesity	0.342
CE_HCC23	Other Significant Endocrine and Metabolic Disorders	0.24
CE_HCC27	End-Stage Liver Disease	1.003
CE_HCC28	Cirrhosis of Liver	0.425
CE_HCC29	Chronic Hepatitis	0.313
CE_HCC33	Intestinal Obstruction/Perforation	0.337
CE_HCC34	Chronic Pancreatitis	0.257
CE_HCC35	Inflammatory Bowel Disease	0.279
CE_HCC39	Bone/Joint/Muscle Infections/Necrosis	0.423
CE_HCC40	Rheumatoid Arthritis and Inflammatory Connective Tissue Disease	0.376
CE_HCC46	Severe Hematological Disorders	1.078
CE_HCC47	Disorders of Immunity	0.306
CE_HCC48	Coagulation Defects and Other Specified Hematological Disorders	0.258
CE_HCC51	Dementia With Complications	0.616
CE_HCC52	Dementia Without Complication	0.343
CE_HCC54	Drug/Alcohol Psychosis	0.358
CE_HCC55	Drug/Alcohol Dependence	0.358
CE_HCC57	Schizophrenia	0.471
CE_HCC58	Major Depressive, Bipolar, and Paranoid Disorders	0.318
CE_HCC70	Quadriplegia	1.075
CE_HCC71	Paraplegia	0.868
CE_HCC72	Spinal Cord Disorders/Injuries	0.441
CE_HCC73	Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease	1.016
CE_HCC74	Cerebral Palsy	0.036
CE_HCC75	Polyneuropathy	0.281
CE_HCC76	Muscular Dystrophy	0.46
CE_HCC77	Multiple Sclerosis	0.482
CE_HCC78	Parkinson's and Huntington's Diseases	0.555
CE_HCC79	Seizure Disorders and Convulsions	0.252
CE_HCC80	Coma, Brain Compression/Anoxic Damage	0.533
CE_HCC82	Respirator Dependence/Tracheostomy Status	1.732
CE_HCC83	Respiratory Arrest	0.769
CE_HCC84	Cardio-Respiratory Failure and Shock	0.326
CE_HCC85	Congestive Heart Failure	0.361
CE_HCC86	Acute Myocardial Infarction	0.283
CE_HCC87	Unstable Angina and Other Acute Ischemic Heart Disease	0.283
CE_HCC88	Angina Pectoris	0.21
CE_HCC96	Specified Heart Arrhythmias	0.276
CE_HCC99	Cerebral Hemorrhage	0.371
CE_HCC100	Ischemic or Unspecified Stroke	0.333
CE_HCC103	Hemiplegia/Hemiparesis	0.481
CE_HCC104	Monoplegia, Other Paralytic Syndromes	0.212
CE_HCC106	Atherosclerosis of the Extremities with Ulceration or Gangrene	1.313
CE_HCC107	Vascular Disease with Complications	0.417
CE_HCC108	Vascular Disease	0.288
CE_HCC110	Cystic Fibrosis	0.388
CE_HCC111	Chronic Obstructive Pulmonary Disease	0.388
CE_HCC112	Fibrosis of Lung and Other Chronic Lung Disorders	0.294
CE_HCC114	Aspiration and Specified Bacterial Pneumonias	0.691
CE_HCC115	Pneumococcal Pneumonia, Empyema, Lung Abscess	0.212
CE_HCC122	Proliferative Diabetic Retinopathy and Vitreous Hemorrhage	0.223
CE_HCC124	Exudative Macular Degeneration	0.248
CE_HCC134	Dialysis Status	0.617
CE_HCC135	Acute Renal Failure	0.617
CE_HCC136	Chronic Kidney Disease, Stage 5	0.227
CE_HCC137	Chronic Kidney Disease, Severe (Stage 4)	0.227
CE_HCC138	Chronic Kidney Disease, Moderate (Stage 3)	0.227
CE_HCC139	Chronic Kidney Disease, Mild or Unspecified (Stages 1-2 or Unspecified)	0.227
CE_HCC140	Unspecified Renal Failure	0.227
CE_HCC141	Nephritis	0.075
CE_HCC157	Pressure Ulcer of Skin with Necrosis Through to Muscle, Tendon, or Bone	1.071
CE_HCC158	Pressure Ulcer of Skin with Full Thickness Skin Loss	1.071
CE_HCC160	Pressure Pre-Ulcer Skin Changes or Unspecified Stage	1.071
CE_HCC161	Chronic Ulcer of Skin, Except Pressure	0.473
CE_HCC162	Severe Skin Burn or Condition	0.458
CE_HCC166	Severe Head Injury	0.533
CE_HCC167	Major Head Injury	0.141
CE_HCC169	Vertebral Fractures without Spinal Cord Injury	0.441
CE_HCC170	Hip Fracture/Dislocation	0.363
CE_HCC173	Traumatic Amputations and Complications	0.379
CE_HCC176	Complications of Specified Implanted Device or Graft	0.555
CE_HCC186	Major Organ Transplant or Replacement Status	1.032
CE_HCC188	Artificial Openings for Feeding or Elimination	0.609
CE_HCC189	Amputation Status, Lower Limb/Amputation Complications	0.804
CE_SEPSIS_CARD_RESP_FAIL		0.634
